% Model:              Two_segments_demag.mph
% Version:            COMSOL 5.6.0.341
% Date:               Feb 13 2022, 14:04
% Dimension:          1
% Nodes:              1000
% Expressions:        1
% Description:        Line graph
% s                       Height
0                         -5.904280032528605E-6
0                         0.004368950384775946
4.6175225243466366E-5     0.008743815394654977
9.235045048694882E-5      0.013118656437187454
1.3852567573042E-4        0.01749343920000225
1.847009009738967E-4      0.021868129371020263
2.3087612621736878E-4     0.026242692638565983
2.770513514608439E-4      0.030617094691581057
3.232265767043156E-4      0.03503683277270514
3.6940180194779343E-4     0.03942001712584552
4.155770271912669E-4      0.04380158886977922
4.6175225243474775E-4     0.04818251700895949
5.079274776782226E-4      0.05259606546512403
5.541027029216956E-4      0.05700936534337704
6.002779281651726E-4      0.06142238191459189
6.464531534086438E-4      0.06583508045094766
6.926283786521216E-4      0.07024742622602309
7.388036038955968E-4      0.07465938451500043
7.849788291390688E-4      0.07907092059502417
8.311540543825457E-4      0.08363201311641935
8.77329279626019E-4       0.08810399979606898
9.235045048694939E-4      0.09254594989951438
9.696797301129678E-4      0.09701835518843302
0.0010158549553564453     0.10149029538175941
0.0010620301805999183     0.10596173524856758
0.0011082054058433924     0.11043263956022396
0.0011543806310868666     0.11505360095647078
0.001200555856330344      0.1196154067665763
0.0012467310815738157     0.12409413882956784
0.001292906306817293      0.12868106828963455
0.0013390815320607663     0.13326740317961216
0.0013852567573042426     0.13785310749905713
0.0014314319825477143     0.14243814525041398
0.0014776072077911917     0.14711502368998478
0.0015237824330346674     0.15177611440366715
0.0015699576582781387     0.15638524018676045
0.0016161328835216182     0.16104679284519482
0.001662308108765091      0.16570763949380307
0.0017084833340085704     0.170367743381527
0.001754658559252043      0.17511924615326768
0.001800833784495517      0.17989423073181923
0.0018470090097389901     0.18466832911960665
0.0018931842349824662     0.18936432062627162
0.0019393594602259423     0.19418366484415583
0.001985534685469415      0.1990022074165187
0.0020317099107128927     0.20381991053996076
0.002077885135956369      0.20863673641478156
0.0021240603611998397     0.2136286883735487
0.0021702355864433144     0.21847444963595447
0.0022164108116867927     0.2233806111853819
0.002262586036930265      0.2282859532656935
0.002308761262173738      0.2331904371160165
0.002354936487417216      0.23809402397914234
0.0024011117126606914     0.24323939278579057
0.0024472869379041666     0.24830891216681508
0.0024934621631476418     0.25322166542840546
0.002539637388391112      0.2583350734272215
0.002585812613634589      0.26344764556283107
0.0026319878388780665     0.26855934174069807
0.002678163064121537      0.2736701218698644
0.002724338289365013      0.27893696300601173
0.0027705135146084835     0.2840801521169014
0.0028166887398519635     0.28927827866721634
0.0028628639650954395     0.29447566169484196
0.0029090391903389117     0.29967226002262815
0.0029552144155823882     0.3048680324765015
0.0030013896408258643     0.3102552876225914
0.00304756486606934       0.31567480549032634
0.0030937400913128147     0.3209285216228662
0.003139915316556287      0.32631629925849914
0.003186090541799761      0.3317035010502563
0.0032322657670432364     0.33709008455196693
0.0032784409922867143     0.3424760073194565
0.0033246162175301908     0.34803370702799225
0.003370791442773662      0.35362789725539223
0.00341696666801714       0.3590555382956072
0.0034631418932606147     0.36454480102758996
0.0035093171185040886     0.37003367867467546
0.003555492343747561      0.37552212775312876
0.003601667568991036      0.3811029592049618
0.0036478427942345133     0.3868394112939016
0.003694018019477988      0.3925754762986402
0.003740193244721462      0.398072578357707
0.0037863684699649377     0.4037216576225285
0.0038325436952084155     0.4093706477158695
0.003878718920451891      0.4150195040625731
0.003924894145695361      0.4206681820863759
0.003971069370938838      0.42661189793600374
0.0040172445961823115     0.4323488296009026
0.004063419821425787      0.43805883450451066
0.004109595046669257      0.44376910976075945
0.004155770271912734      0.44947961010550586
0.004201945497156211      0.4552135343553832
0.004248120722399685      0.46117667225873016
0.004294295947643159      0.4671401876925578
0.004340471172886637      0.47284396834269127
0.004386646398130111      0.4786551882182546
0.0044328216233735845     0.4844670876424458
0.004478996848617061      0.4902796206744882
0.004525172073860535      0.4960927413680619
0.004571347299104007      0.5021807904608931
0.004617522524347483      0.5080189742283039
0.004663697749590958      0.5138583445126305
0.004709872974834437      0.519698855057286
0.0047560482000779105     0.52554045959688
0.004802223425321384      0.5313831118576756
0.004848398650564857      0.5373363951666517
0.004894573875808332      0.5434118309899584
0.004940749101051808      0.5492817493615477
0.00498692432629528       0.5550901027784763
0.0050330995515387575     0.5609001870141975
0.005079274776782235      0.5667119559110005
0.005125450002025711      0.5725253632992682
0.005171625227269181      0.5785305281498662
0.005217800452512659      0.584625841891536
0.005263975677756131      0.5904047557422605
0.005310150902999605      0.5961860003928355
0.005356326128243079      0.6019695299978487
0.005402501353486562      0.6077552986964839
0.005448676578730032      0.6135105690523435
0.005494851803973508      0.6195239766879219
0.005541027029216982      0.6254744604275059
0.005587202254460455      0.6311189967655741
0.005633377479703934      0.6367665809552631
0.005679552704947409      0.642417167967767
0.005725727930190881      0.6480707127547408
0.0057719031554343565     0.6537995428622255
0.0058180783806778295     0.6598228073719613
0.005864253605921305      0.6653592584093192
0.005910428831164785      0.6708994872491829
0.005956604056408255      0.6764434499694609
0.006002779281651733      0.6819911026242443
0.0060489545068952095     0.6872731384656817
0.006095129732138684      0.6930155082472139
0.0061413049573821555     0.6988389810709018
0.006187480182625635      0.7040411750430086
0.006233655407869106      0.7092480581453139
0.006279830633112582      0.7144595885200821
0.006326005858356056      0.7196757242807386
0.0063721810835995285     0.7248964235118497
0.006418356308843005      0.7303563196869706
0.00646453153408648       0.7353886133179444
0.0065107067593299555     0.7404263231255896
0.006556881984573432      0.745469409597679
0.006603057209816905      0.7505178331891683
